Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
13/06/14,walking,walking,2014-06-13T11:28:49+01:00,2014-06-13T11:29:27+01:00,38,0.016,50,2
13/06/14,walking,walking,2014-06-13T12:24:34+01:00,2014-06-13T12:25:09+01:00,35,0.015,47,2
13/06/14,walking,walking,2014-06-13T12:26:59+01:00,2014-06-13T12:45:24+01:00,1105,0.951,1879,113
13/06/14,walking,walking,2014-06-13T13:55:44+01:00,2014-06-13T14:02:35+01:00,411,0.296,617,35
13/06/14,walking,walking,2014-06-13T14:02:34+01:00,2014-06-13T14:03:05+01:00,31,0.014,43,2
13/06/14,walking,walking,2014-06-13T14:06:50+01:00,2014-06-13T14:21:34+01:00,884,0.774,1427,92
13/06/14,walking,walking,2014-06-13T16:34:34+01:00,2014-06-13T16:38:17+01:00,223,0.154,331,18
13/06/14,walking,walking,2014-06-13T17:20:05+01:00,2014-06-13T17:20:43+01:00,38,0.016,50,2
13/06/14,walking,walking,2014-06-13T18:00:14+01:00,2014-06-13T18:01:00+01:00,46,0.019,61,2
13/06/14,walking,walking,2014-06-13T18:02:42+01:00,2014-06-13T18:06:31+01:00,229,0.194,356,23
13/06/14,transport,transport,2014-06-13T18:06:30+01:00,2014-06-13T18:48:08+01:00,2498,12.345,0,0
13/06/14,walking,walking,2014-06-13T18:48:08+01:00,2014-06-13T18:51:08+01:00,180,0.098,316,12
13/06/14,transport,transport,2014-06-13T18:51:08+01:00,2014-06-13T18:55:38+01:00,270,0.747,0,0
13/06/14,walking,walking,2014-06-13T18:55:38+01:00,2014-06-13T19:00:39+01:00,301,0.181,445,21
13/06/14,walking,walking,2014-06-13T19:00:39+01:00,2014-06-13T19:00:50+01:00,11,0.004,15,1
13/06/14,walking,walking,2014-06-13T22:56:52+01:00,2014-06-13T22:56:56+01:00,4,0.002,5,0
14/06/14,transport,transport,2014-06-14T05:45:19+01:00,2014-06-14T06:47:40+01:00,3741,17.638,0,0
14/06/14,walking,walking,2014-06-14T06:47:39+01:00,2014-06-14T06:51:13+01:00,214,0.257,548,31
14/06/14,walking,walking,2014-06-14T06:51:14+01:00,2014-06-14T06:51:39+01:00,25,0.014,46,2
14/06/14,walking,walking,2014-06-14T06:54:36+01:00,2014-06-14T07:12:11+01:00,1055,0.866,1465,103
14/06/14,walking,walking,2014-06-14T07:12:10+01:00,2014-06-14T07:13:35+01:00,85,0.037,119,4
14/06/14,walking,walking,2014-06-14T07:17:17+01:00,2014-06-14T07:24:13+01:00,416,0.498,1180,59
14/06/14,transport,transport,2014-06-14T07:24:13+01:00,2014-06-14T07:36:50+01:00,757,2.120,0,0
14/06/14,walking,walking,2014-06-14T07:37:01+01:00,2014-06-14T07:37:54+01:00,53,0.022,70,3
14/06/14,transport,transport,2014-06-14T07:52:42+01:00,2014-06-14T08:33:00+01:00,2418,12.263,0,0
14/06/14,walking,walking,2014-06-14T08:33:00+01:00,2014-06-14T08:39:28+01:00,388,0.301,645,36
